Law type,Year,Name,File name,Link,Cited_by
Union of India - Act,1950,"Preventive Detention Act, 1950",..\SCRAP\LAW\PreventiveDetentionAct1950UnionofIndia-Act1950.md,https://indiankanoon.org/doc/84767110/,9574
Union of India - Act,1950,"The Immoral Traffic (Prevention) Act, 1956",..\SCRAP\LAW\TheImmoralTrafficPreventionAct1956UnionofIndia-Act1950.md,https://indiankanoon.org/doc/69064674/,2766
Union of India - Act,1950,"The Army Act, 1950",..\SCRAP\LAW\TheArmyAct1950UnionofIndia-Act1950.md,https://indiankanoon.org/doc/165229/,2394
Union of India - Act,1950,"Road Transport Corporations Act, 1950",..\SCRAP\LAW\RoadTransportCorporationsAct1950UnionofIndia-Act1950.md,https://indiankanoon.org/doc/1779621/,571
Union of India - Act,1950,"Administration of Evacuee Property Act, 1950",..\SCRAP\LAW\AdministrationofEvacueePropertyAct1950UnionofIndia-Act1950.md,https://indiankanoon.org/doc/880333/,819
Union of India - Act,1950,"The Emblems And Names (Prevention Of Improper Use) Act,  1950",..\SCRAP\LAW\TheEmblemsAndNamesPreventionOfImproperUseAct1950UnionofIndia-Act1950.md,https://indiankanoon.org/doc/126816437/,133
Union of India - Act,1950,"The Transfer of Prisoners Act, 1950",..\SCRAP\LAW\TheTransferofPrisonersAct1950UnionofIndia-Act1950.md,https://indiankanoon.org/doc/1264536/,37
Union of India - Act,1950,"Union Territories (Laws) Act, 1950",..\SCRAP\LAW\UnionTerritoriesLawsAct1950UnionofIndia-Act1950.md,https://indiankanoon.org/doc/1544448/,29
Union of India - Act,1950,"The Telegraph Wires (Unlawful Possession) Act, 1950",..\SCRAP\LAW\TheTelegraphWiresUnlawfulPossessionAct1950UnionofIndia-Act1950.md,https://indiankanoon.org/doc/980662/,19
Union of India - Act,1951,"The State Financial Corporations Act, 1951",..\SCRAP\LAW\TheStateFinancialCorporationsAct1951UnionofIndia-Act1951.md,https://indiankanoon.org/doc/231604/,1218
Union of India - Act,1951,"The All India Services Act, 1951",..\SCRAP\LAW\TheAllIndiaServicesAct1951UnionofIndia-Act1951.md,https://indiankanoon.org/doc/1820745/,288
Union of India - Act,1951,"The Plantations Labour Act, 1951",..\SCRAP\LAW\ThePlantationsLabourAct1951UnionofIndia-Act1951.md,https://indiankanoon.org/doc/703097/,175
Union of India - Act,1951,"The Displaced Persons (Debts Adjustment) Act, 1951",..\SCRAP\LAW\TheDisplacedPersonsDebtsAdjustmentAct1951UnionofIndia-Act1951.md,https://indiankanoon.org/doc/1690572/,187
Union of India - Act,1951,"The Evacuee Interest (Separation) Act,   1951",..\SCRAP\LAW\TheEvacueeInterestSeparationAct1951UnionofIndia-Act1951.md,https://indiankanoon.org/doc/826323/,174
Union of India - Act,1951,"The Visva-Bharati Act, 1951",..\SCRAP\LAW\TheVisva-BharatiAct1951UnionofIndia-Act1951.md,https://indiankanoon.org/doc/17541/,36
Union of India - Act,1951,"The President's Emoluments And Pension Act, 1951",..\SCRAP\LAW\ThePresidentsEmolumentsAndPensionAct1951UnionofIndia-Act1951.md,https://indiankanoon.org/doc/1706766/,12
Union of India - Act,1951,"The Rajghat Samadhi Act,1951",..\SCRAP\LAW\TheRajghatSamadhiAct1951UnionofIndia-Act1951.md,https://indiankanoon.org/doc/327662/,7
Union of India - Act,1951,"The Jallianwala Bagh National Memorial Act, 1951",..\SCRAP\LAW\TheJallianwalaBaghNationalMemorialAct1951UnionofIndia-Act1951.md,https://indiankanoon.org/doc/1775899/,8
Union of India - Act,1951,"The Supreme Court Advocates (Practice In High Courts) Act, 1951",..\SCRAP\LAW\TheSupremeCourtAdvocatesPracticeInHighCourtsAct1951UnionofIndia-Act1951.md,https://indiankanoon.org/doc/1622729/,9
Union of India - Act,1952,"The Employees’ Provident Funds And Miscellaneous Provisions Act, 1952",..\SCRAP\LAW\TheEmployeesProvidentFundsAndMiscellaneousProvisionsAct1952UnionofIndia-Act1952.md,https://indiankanoon.org/doc/397345/,3086
Union of India - Act,1952,"Employees Provident Funds Miscellaneous Provisions Act, 1952",..\SCRAP\LAW\EmployeesProvidentFundsMiscellaneousProvisionsAct1952UnionofIndia-Act1952.md,https://indiankanoon.org/doc/58895721/,3691
Union of India - Act,1952,"The Mines Act, 1952",..\SCRAP\LAW\TheMinesAct1952UnionofIndia-Act1952.md,https://indiankanoon.org/doc/1814464/,1892
Union of India - Act,1952,"The Public Gambling Act, 1867",..\SCRAP\LAW\ThePublicGamblingAct1867UnionofIndia-Act1952.md,https://indiankanoon.org/doc/1824663/,1138
Union of India - Act,1952,"The Commissions Of Inquiry Act, 1952",..\SCRAP\LAW\TheCommissionsOfInquiryAct1952UnionofIndia-Act1952.md,https://indiankanoon.org/doc/1788561/,576
Union of India - Act,1952,"The Notaries Act, 1952",..\SCRAP\LAW\TheNotariesAct1952UnionofIndia-Act1952.md,https://indiankanoon.org/doc/486735/,619
Union of India - Act,1952,"The Forward Contracts (Regulation) Act, 1952",..\SCRAP\LAW\TheForwardContractsRegulationAct1952UnionofIndia-Act1952.md,https://indiankanoon.org/doc/148970782/,98
Union of India - Act,1952,"The Presidential And Vice-Presidential Elections Act, 1952",..\SCRAP\LAW\ThePresidentialAndVice-PresidentialElectionsAct1952UnionofIndia-Act1952.md,https://indiankanoon.org/doc/102305/,73
Union of India - Act,1953,"Estate Duty act, 1953",..\SCRAP\LAW\EstateDutyact1953UnionofIndia-Act1953.md,https://indiankanoon.org/doc/988436/,1011
Union of India - Act,1953,"The Tea Act, 1953",..\SCRAP\LAW\TheTeaAct1953UnionofIndia-Act1953.md,https://indiankanoon.org/doc/1992542/,360
Union of India - Act,1953,"The Air Corporations Act, 1953",..\SCRAP\LAW\TheAirCorporationsAct1953UnionofIndia-Act1953.md,https://indiankanoon.org/doc/979883/,147
Union of India - Act,1953,"The Salt Cess Act, 1953",..\SCRAP\LAW\TheSaltCessAct1953UnionofIndia-Act1953.md,https://indiankanoon.org/doc/53524/,240
